head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,frame,gesture,speaker
-54.927116270100186,-12.98158273117475,-9.784102618489703,40.1782113797431,59.03747280992734,-17.255799764203328,35.77202575405037,49.73204983479519,75.57856115841494,76.20840671020117,-62.3419565905914,-63.46107463003118,-56.478649971971095,-59.276445070570524,-260.6866844276719,-260.6867270392833,-254.32284413021253,-247.2518331341853,-241.595007292719,1084.230399117436,-247.25173370709248,-250.08013242395526,-255.02985858620582,1084.230399117436,-250.78717528768934,-255.0298159745947,-257.85825730306857,1084.230399117436,-254.32265947989742,-257.1510866045009,-259.2724282537592,1084.2303991174363,-263.51504053292365,-261.39371308753584,-260.68659920444975,1213.3375651739275,1213.3375651739268,-133.67156520006935,-137.1513241825573,-139.90021281379708,-125.12332996986828,-130.9068044984884,-133.81441383313958,-135.99115281654272,-119.51444821500066,-126.71204723509355,-131.04965313155864,-133.92551832552755,-115.31969095160578,-123.2164161822645,-127.53815000838844,-130.41401520235738,-113.25405646059059,-119.0057868485285,-123.29577653397017,-126.87076793850493,0,again,savvy_m_1
-54.690978734706135,-12.720605909028244,-8.994138581072287,39.84911511924832,58.600191178473246,-15.585842780878039,35.74725378658389,48.94725613170741,74.6480987925457,75.77354314928236,-62.19480171323739,-63.08166074500043,-56.45603099678178,-59.84139869713656,1086.6620212516248,-261.7890347160604,-255.39582037233163,-248.30882174584838,-242.63602664897027,1086.6620212516248,-246.2221419047659,-251.1798447476126,-255.42778232924718,1086.6620212516248,-249.08251092089168,-254.739325039312,-258.26684337409586,1086.6620212516248,-252.63666421977177,-256.87394781576785,-260.40146615055164,-266.77337252300345,-263.2458541882196,-262.54141591982665,-261.12721239022164,1214.8672671742736,1214.8672671742736,-133.54244772739102,-136.32956706635758,-140.5033836441983,-125.71660242591751,-130.76905324964278,-133.66597147835606,-136.54916484585092,-120.10118916432936,-127.28172286062998,-131.6065129118723,-133.77577036810268,-115.19971181400575,-123.08045656035259,-127.39152175037664,-130.96120130669942,-113.82673943634994,-119.56567644890312,-123.14908086644428,-126.71876042276706,1,again,savvy_m_1
-54.83249525264103,-12.871517433477626,-8.954884528832105,43.076829669959814,57.52595055661659,-15.936782100177982,35.340685511144684,48.69535152525172,74.57773698234695,75.50180520394177,-62.30028358478129,-63.24905598161713,-56.51081006170514,-60.06253050602921,958.5382237007477,-389.91003452344574,-382.8169062625418,-376.43750982156905,-370.06253237443696,958.5382237007477,958.5382237007477,-378.596381256725,-382.84342022558593,958.5382237007477,-377.20426956758837,-382.8610962009488,-385.6806715299477,958.5382237007477,-380.04593986579073,-385.69834750531027,-387.1081351698097,958.5382237007477,-392.77379979085146,-390.6546993002616,-388.5355988096719,1215.2273099125905,1215.2273099125905,-133.1917961441686,-136.68364550090982,-140.86391096581713,-126.07123318693256,-131.11410561569255,-134.00463429211078,-136.88272076455144,-119.73862396968356,-126.90895574283,-131.22608545149095,-134.8050302360754,-115.53347409682101,-123.4046641821112,-127.70935168679456,-130.57499595525763,-113.45578356834496,-119.18707210527106,-122.76601688985546,-126.33251947046226,2,again,savvy_m_1
-52.808626975223895,-12.797748697271972,-10.438877114166948,54.10191610410984,31.163010981492945,-14.225170443327306,38.43833542905379,51.28105884404812,72.9348302373975,78.5033645993752,-61.56552406120957,-61.00792277669817,-56.194564002933376,-57.38408212464617,829.5709952744783,-516.7615547377263,-508.9853335615049,-502.6228918698269,-497.67422966269226,829.5709952744785,829.5709952744785,829.5709952744785,-509.6896192363833,829.5709952744785,829.5709952744785,-507.56764797587135,-511.1033987209269,829.5709952744785,-507.56591193094255,-511.101662675998,-513.9305236787817,829.5709952744785,-518.1718621324122,-516.0503248831326,-515.3430011296285,1219.7864039652784,1219.7864039652784,-141.5757606461046,-143.7330279588549,-145.89029527160514,-131.00576783196502,-131.5902430475678,-132.93226847846276,-133.5744353606287,-124.62050339355888,-126.60469570661978,-127.93229822087395,-130.00302803377954,-119.6493789692516,-121.63357128231254,-124.3897367273064,-126.46046654021198,-116.07797164240247,-118.09100978874494,-120.86159815037958,-122.94675087992594,3,again,savvy_m_1
-51.024441745600306,-13.016384333002287,-12.63898623650008,48.53677283311425,15.399358951152664,-12.42362633491936,41.484326687543415,53.73202308273993,77.2076021342712,80.8002121758075,-58.94459496396672,-59.083636367941246,-54.845476950809,-55.18314893188993,-68.15132271274321,-69.56254023024836,-61.779874037665955,-55.4124196190276,-50.46017697433328,1276.7654398396369,-53.30158472742881,-57.543225792821815,-61.78586542232459,-61.788861114653905,-59.66903914606715,-62.49646700162591,-63.90868308324061,-68.15431840507271,-64.6212817907615,-65.32689054951396,-67.4467125181007,-74.51977569549153,-71.69334640404256,-70.27913319420831,-68.86392142026428,18.85296751246885,17.053030727603986,13.169413204997106,13.811628110311053,17.8295355866757,13.602611156993605,1.1081087532223728,-5.785148365317588,-12.678405483857553,10.159773609064024,-2.9097987231422726,-10.736596722554117,-16.337842007785383,7.075407013571256,-4.702153485326347,-12.170480532301376,-17.77172581753264,3.4159704896434246,-6.136037295073607,-11.737282580304875,-15.112975151355569,4,again,savvy_m_1
-48.19672720370879,-11.264915529860929,-13.63156300432018,37.42303899345776,0.6188275752333171,-7.839427714559653,45.60904653272964,57.189373294944495,74.17903458004966,84.77367170694164,-57.60492373413536,-55.7572009018069,-53.281654327139215,-52.21658026782553,960.3185850386807,-389.545064623039,-383.17610386868796,-376.8093660873082,-371.1491791254818,960.3185850386814,-371.87017926934806,-378.23247110478553,960.3185850386814,960.3185850386814,-378.94457935676695,-385.3068711922043,-386.71997283131105,960.3185850386814,-383.8971040125544,-387.4320810832925,-390.96705815403067,960.3185850386814,-391.67694343304095,-392.38460573908,-393.79993035115785,16.313922601034378,16.99902809405661,13.9495630289206,13.905414015628162,18.461348822291892,12.218536505324733,-0.07905692862199205,-6.410167272174027,-12.240391607085467,9.393628222256867,-2.903965211689864,-10.601474825680423,-16.067071907434528,7.069605947829592,-4.8633602329598045,-11.69535658515243,-17.160953666906536,2.878298394323193,-5.45635598379122,-10.056439803747393,-13.654751606422371,5,again,savvy_m_1
-49.32187263732998,-12.360668812661087,-15.484746449105744,29.48628091897916,23.00748485240345,-8.15970015468207,48.301178421772185,53.516383483874435,72.43724448017875,82.77914104824143,-58.853682721578,-56.7354324878954,-55.66758240236936,-52.94402753982788,-191.36256264311695,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,1153.5572184089706,1147.9452723887473,1143.023636778389,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,-191.362562643117,16.241026961818616,18.699934678172585,15.897222199517307,13.58990267548093,18.516746636559116,11.787004634433696,-0.873910030563078,-6.9566708857520165,-12.053160095888293,9.653844623640527,-4.158472671281869,-11.392636156396437,-17.64052799645834,7.355553627974401,-4.319089391969709,-11.718383861957236,-18.131406686892106,4.07099098725561,-4.479706112657548,-9.906457292539756,-14.181805842496335,6,again,savvy_m_1
-49.93778096537858,-13.025862790188649,-15.715311531066986,31.48081791441506,25.435356588142266,-8.203254780779583,45.15329552553028,54.60998410632134,75.1048387434335,81.9916457972482,-58.40145781537635,-58.5025943118905,-56.167162050331484,-53.82251443007857,-255.2361762101194,1092.4949711635434,1086.8627596866922,1082.644738099327,1077.0125266224761,-255.23617621011985,-255.23617621011985,-255.23617621011985,-255.23617621011985,-255.23617621011985,-255.23617621011985,-255.23617621011985,-255.23617621011985,-255.23617621011985,-255.23617621011985,-255.23617621011985,-255.2361762101199,-255.2361762101199,-255.2361762101199,-255.2361762101199,-255.2361762101199,16.49912720931854,18.074349730896387,15.549165390727444,13.303066190043564,17.55643370633621,11.44875852898065,-0.1413311227437417,-7.212386203493731,-13.15368264150012,9.175823158690124,-3.4044825660353277,-10.615080216527849,-15.705703151275712,6.902887788399603,-4.826744433067319,-11.047126010558774,-16.277291515049168,3.3606512056229483,-5.258790227098245,-10.488955731588637,-13.7386890900769,7,again,savvy_m_1
-50.49824185127857,-12.619886593037052,-15.737962152092098,31.308874778398557,23.82452560755653,-7.348312078090623,46.041680106453114,55.24755273696294,73.33949537654104,81.6014663592434,-59.032287019483654,-56.99612967721335,-55.924548938106696,-53.20622665585358,-191.16224662025098,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,1151.6492555809928,1146.7441335330525,1142.5270500504696,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,-191.16224662025084,15.989252664536732,17.657345394208146,15.229087878566336,13.062071284657266,18.357563656995683,11.002117172386734,-0.4261215783076075,-7.366148701089605,-12.453931392514546,9.802975045361542,-2.7473166123108856,-10.940017102937341,-16.158420255228652,7.481780011358263,-4.0770792002024505,-11.408967705583565,-17.74942376485297,3.047099624265186,-4.546029802848673,-9.76443295513999,-13.99140366131959,8,again,savvy_m_1
-50.37044469815635,-12.536667987076866,-16.180499510548128,28.683967048667512,23.959878360830718,-6.714721902709464,47.79651867533961,54.88851845114984,73.02289916461204,81.92515393527376,-58.98947136421586,-56.77923515346898,-55.94128432777233,-52.76461069192556,-255.87325446472903,-255.873254464729,1089.050448186212,1084.1181260224603,1079.1858038587084,-255.873254464729,-255.873254464729,-255.873254464729,-255.873254464729,-255.873254464729,-255.873254464729,-255.873254464729,1097.490947833012,-255.873254464729,-255.873254464729,-255.873254464729,-255.873254464729,-255.873254464729,-255.873254464729,-255.873254464729,-255.873254464729,15.515693022476865,17.238906726438596,13.750907080695848,13.740514021241033,18.074530929782433,11.766672762661258,0.2268151269259524,-6.7180049861951066,-12.796021717607884,9.416890172154446,-3.1150846225981543,-11.302649449354536,-16.513862799059037,7.067107581647633,-3.6059466723793934,-11.793511499135775,-17.99684200785757,3.599894054814511,-3.9714949448516177,-9.182708294556113,-13.401804485243321,9,again,savvy_m_1
